sim	vc	vc_star	Mb	MHI	M_V	BminV	VminI	Re	mu0	FeH
C3P1M3R05L	0.0	26.5505342365	17140261.7876	256.869848096	-13.3407502727	0.5878186859	0.97602983	1.10134169539	24.1625929794	-2.49201230347
C3P1M3R10L	0.0	22.0540829832	11534697.4703	658.368498471	-13.4085666644	0.5773452083	0.9685113755	2.87568098627	26.0172459195	-2.23153011564
C3P1M5R00L	0.0	32.0370650471	92564475.4862	459.516457774	-14.9949059732	0.6215677988	0.9990068818	1.67964645136	23.0777180773	-2.0276188111
C3P1M5R05L	0.0	31.3232537249	77199545.1886	503.248125849	-14.5581413141	0.6271162044	1.0036567576	0.967998435527	23.0496713661	-2.02311561817
C3P1M5R10L	8.80615255522	27.8762879381	84794359.2668	6061847.0661	-14.4294062954	0.6950057596	1.0381157726	2.17019506506	24.6857236271	-1.99293936348
C3P1M7R00L	0.0	84.0984220542	782494513.537	1141771.90009	-16.8181743217	0.7715354123	1.1567670038	0.529842226961	19.2455994161	-0.849190370327
C3P1M7R05L	21.2269889606	38.4653840259	258519533.555	19455148.5813	-16.4076815319	0.6803925713	1.0264362593	2.92262350593	22.8999455903	-1.50650948555
C3P1M7R10L	23.3995398022	37.7433903804	368373507.92	67803605.7061	-15.7883685741	0.7264351857	1.0926432627	1.88434159372	23.0536683666	-1.46376266447
C3P1M9R00L	0.0	114.556808272	1040013427.74	1.36822189607	-17.1483712925	0.8004445006	1.1795637575	0.552060422524	19.0046026757	-0.817736456867
C3P1M9R05L	36.0990948006	55.9558665528	560816395.2	16487195.4789	-16.508566246	0.7213127449	1.1021680127	0.941488168667	21.0639707897	-1.15620362878
C3P1M9R10L	28.437405462	47.3478900676	728936577.309	146459286.821	-16.6424941453	0.7923989491	1.1617080455	1.95683339431	22.301912084	-1.17330991407
C1P1M1R00L	0.0	16.4078971299	2067515.59651	1024.54211265	-11.1983631992	0.5800334403	0.9696939076	0.83717123005	25.8507675245	-2.44738533544
C1P1M1R00H	0.0	14.8544659592	2548176.40144	1211.1398312	-11.3852429801	0.5700700483	0.9637448166	4.55528544319	26.6539845147	-2.23937780112
C1P1M1R05L	0.0	16.0595860028	1960294.51701	817.218417675	-11.3006799122	0.575665248	0.9673274001	1.80984083861	26.7820859218	-3.08959578963
C1P1M1R05H	0.0	14.8544659592	2548176.40144	1211.1398312	-11.3852429801	0.5700700483	0.9637448166	4.55528544319	26.6539845147	-2.23937780112
C1P1M1R10L	0.0	15.0652631563	1945922.98199	1526.02332417	-11.114222745	0.5794889891	0.9732637341	1.93414498971	27.2565877692	-2.23474440885
C1P1M1R10H	0.0	14.8290162003	1242685.03196	1312.64806701	-10.7706109009	0.5984647858	0.9800130118	0.9732534186	26.7963779473	-2.23850715802
C1P1M3R00L	0.0	25.4089102652	24445366.343	2015.72213246	-13.5552373722	0.5849861216	0.9740258906	1.11594167597	23.951124142	-2.52802962929
C1P1M3R00H	0.0	22.0278021757	20159334.7467	1970.88404488	-13.2856127884	0.5817990795	0.9724070706	0.977074010077	23.7500201185	-2.56549441346
C1P1M3R05L	0.0	22.7513451822	38841522.593	6040.56999009	-13.6172990322	0.5912982637	0.9780577282	1.508698568	24.6473799611	-2.30626806114
C1P1M3R05H	10.2213260636	22.615714476	31332207.2833	6919459.28791	-13.5736053343	0.6100623644	0.9912311993	1.25369045623	24.395411017	-2.16689638807
C1P1M3R10L	5.50362928796	23.2100013923	9654388.99252	971917.600485	-12.8018618298	0.6402222475	0.9816333261	1.33253149688	25.5772464525	-2.10527586001
C1P1M3R10H	9.53349655518	21.9141155781	40112186.0027	11282615.1217	-13.6045085542	0.6416364132	0.9942971554	1.74066613192	25.0535286034	-1.95545908991
C1P1M5R00L	12.4414398326	33.5916146603	130279148.917	2861293.39812	-15.1772640041	0.6372072645	1.0099755481	1.50456437754	22.8478442793	-1.86267404072
C1P1M5R00H	13.1145226743	28.8666070106	60513229.9813	5572659.40315	-14.5094870525	0.5952816418	0.9948613066	0.663222303021	22.3082593761	-2.1250109127
C1P1M5R05L	17.5858955433	32.7867565264	186887905.514	36740590.8089	-14.7784344336	0.6364330553	1.0344243818	0.998874468044	22.9983104447	-1.7372104957
C1P1M5R05H	14.0250783924	29.0185772251	159481212.386	25721475.1044	-15.3363961603	0.6700026794	1.029729992	2.43502877282	23.517020585	-1.8538948617
C1P1M5R10L	16.3570861921	29.8881596583	188341079.572	43138514.8545	-14.9738880745	0.7499048115	1.0966776177	1.93985445788	23.977050619	-1.66962756473
C1P1M5R10H	19.8524687985	30.4357305078	239103096.623	71323442.3232	-14.8663228117	0.6200156376	1.0385507953	1.21009609863	23.2355278165	-1.61375876589
C1P1M7R00L	0.0	83.9557486433	753796749.093	3187407.0487	-16.7712867995	0.7698376498	1.1543621622	0.520526635833	19.2539688896	-0.857721503387
C1P1M7R00H	46.3993885813	112.269343003	1804129681.27	17198126.8325	-18.1378617992	0.5391957345	0.99452376	0.287327851392	16.5970677279	-1.23994098903
C1P1M7R05L	23.7871981541	42.8023555089	429497896.827	19541541.7673	-15.9999693531	0.6984192691	1.0670305532	1.3020194434	22.0995157012	-1.39018362158
C1P1M7R05H	20.4102889493	38.5499342413	297980538.013	48920718.4341	-15.9054339429	0.6991443487	1.0743664562	1.55988219112	22.3098625739	-1.55047456923
C1P1M7R10L	27.9594320171	41.9381166967	435040215.671	127709925.932	-15.620739658	0.6147247123	1.0952125034	0.999766720472	22.2705413795	-1.36185859682
C1P1M7R10H	28.4179720004	38.2781470026	538804169.371	109481305.847	-15.9234550591	0.687257135	1.0796693928	1.59141232725	22.5338250043	-1.41289490037
C1P1M9R00L	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C1P1M9R00H	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C1P1M9R05L	32.2918113493	59.2460228597	650187156.768	20817016.8349	-16.6732918787	0.6971305017	1.1031715932	0.674183802708	20.4196424881	-1.06007701934
C1P1M9R05H	0.0	43.1762648263	252447256.686	65599.3919755	-16.581193917	0.6398560836	1.030537284	0.824494454051	20.7048440673	-1.61799315054
C1P1M9R10L	28.5527518446	47.1014181918	924644553.25	96488337.0383	-16.5692483463	0.7614157593	1.1381577407	1.59928369907	22.0268617416	-1.16527260476
C1P1M9R10H	34.8738722816	45.466085299	894504334.007	175398113.485	-16.7117147931	0.7247448052	1.1222294459	1.85693840423	22.0598027578	-1.20312226553
CcPdM1R10L	0.0	17.7512711333	72733.1615367	66.0501779004	-7.11898387518	0.55661222681	1.48666156457	0.38274185404	28.2385868071	-99.0
CcPdM3R10L	0.0	25.6293628147	173835.096547	516.186588405	-9.81120882023	0.55660310935	0.95677139727	1.77168823719	28.8737685893	-3.61072889149
CcPdM5R10L	8.10756434221	26.7021159049	1652502.55489	116510.865145	-11.6346163168	0.5811201451	0.9746991943	1.51404517456	26.709118751	-1.9933618912
CcPdM7R10L	12.8984312174	31.9388764034	14590204.0118	5599779.96999	-12.7891115804	0.6041826277	1.0083052037	0.864200725561	24.6647253034	-1.80156966813
CcPdM9R10L	20.2612898684	32.6453333212	55763742.2022	23300067.7309	-13.6804304109	0.6256981186	1.0154392171	1.36488726916	24.5685754312	-1.78571778079
CaPaM1R00L	0.0	18.1677529426	170907.76097	63.8266966068	-99.0	-99.0	-99.0	-99.0	-99.0	-2.8747538824
CaPaM1R05L	0.0	19.4894505132	58010.4952687	65.2822268404	-7.71636597157	0.55651707884	1.2391967548	0.406963010353	27.774449615	-99.0
CaPaM1R10L	0.0	17.9309373967	140508.945678	75.491657222	-8.32077784632	0.55660755482	0.85138954941	0.633956679652	28.132560965	-99.0
CaPaM3R00L	0.0	21.424883853	1916629.3039	223.292376334	-12.7861206896	0.5456003918	0.9469656699	12.3993365026	27.7417150774	-3.55936263195
